video_id,label,w2v_0,w2v_1,w2v_2,w2v_3,w2v_4,w2v_5,w2v_6,w2v_7,w2v_8,w2v_9,w2v_10,w2v_11,w2v_12,w2v_13,w2v_14,w2v_15,w2v_16,w2v_17,w2v_18,w2v_19,w2v_20,w2v_21,w2v_22,w2v_23,w2v_24,log_video_views,log_video_likes,log_video_comments
2BRsuKIr7lg,0,0.4816414005212625,0.37210343313741073,0.47854589349724996,0.5013437544767737,0.5124192002525221,0.42536398875574233,0.5280905200496837,0.3767353744522788,0.3141208660370597,0.721250289088543,0.44124858355515767,0.5376273807226635,0.6741272135948513,0.3924253101310796,0.15599571723043593,0.44178637707936347,0.43584976957512245,0.672099416624044,0.6208851522857102,0.47387391042497695,0.5580097120211707,0.5085094914389359,0.6039473662583061,0.5534054012606161,0.3857613947614254,0.5587725910154241,0.6036835282698898,0.4933444726664748
L93bcUoLT_E,1,0.2437285290423747,0.9423553568643538,0.5660366933550596,0.5315441925532312,0.4860913572201849,0.7381536234603936,0.8608865224722647,0.8232318334482529,0.2560376608214174,0.08551492567041596,0.3558109784471509,0.527817462392358,0.5063940958854213,0.2812139539122441,0.5674514667681279,0.8415486602180231,0.39729032145436705,0.4152965555979415,0.32253653208873856,0.8008571282486989,0.34986214984432684,0.6648103545371151,0.5850608125600689,0.8825144407217149,0.5959743471904788,0.6201819865598696,0.6131035867372725,0.5571232706435367
yjnyFkt2Go8,0,0.15965145571673411,0.1760074419675724,0.26118905901610845,0.636177632076109,0.5379381454556467,0.24168883187453244,0.3380843365993249,0.4559415200516026,0.04664809441792184,0.7927717526106182,0.4763708640752895,0.6069445209476344,0.7738464292288059,0.598759916847603,0.337148904168125,0.1940396003466096,0.6656822303969088,0.5843766909065783,0.46679917575466157,0.35113676897298884,0.555789012674233,0.23748799657051778,0.6183148943412246,0.4939849620316443,0.502624601506453,0.29395029658843586,0.24542136444301066,0.19934489693408677
PPdOB3gPnQI,1,0.24445882917403078,0.8031796275066835,0.3638417487511024,0.7316719865127951,0.37050677244018787,0.6827029207982871,0.6549909771991618,0.6035507195444739,0.2746066189645008,0.20481557049054402,0.6152749507159162,0.60798377715729,0.6218543593465764,0.4419128410279992,0.5445176153483693,0.38524035287152913,0.5265209189981235,0.37534200538152573,0.5581901810388104,0.5176391663114434,0.575294174597595,0.643429105701627,0.2748000762491462,0.4588640996975463,0.7234701645670648,0.475703040797135,0.5499279036362318,0.46698550521270504
QTCHPglmCGI,1,0.46642191382506,0.6063502864520989,0.37008274917756656,0.5970033926772819,0.549251927486891,0.5494173430879118,0.7476454372707821,0.48387625614448726,0.4085800205758938,0.28367520290483195,0.5289874460629292,0.33970980305342247,0.7359905135438527,0.39220289249505585,0.45683619078349996,0.4752338205005414,0.28670972896408364,0.6291591382271801,0.7188511119543336,0.5154672549107676,0.48510729925963325,0.6085722710727455,0.3651356298089546,0.38202330882487007,0.6644537680172368,0.542763954046352,0.4693678585399729,0.459788193327229
p1cAGhppM24,1,0.6256937628326394,0.19376165939736673,0.36616042786704617,0.4985309891797598,0.4938162096313698,0.510639822991695,0.642471814015302,0.027631112791654644,0.2605256794090788,0.5553754742269531,0.44971151934936426,0.34615985412391137,0.5749534453152549,0.5379219885429583,0.48761210321091003,0.5901100816282038,0.04918578775813662,0.690009738485829,0.7473693594559829,0.6140616603045279,0.3996544332060974,0.6015114108603815,0.22709509825405824,0.5594257858661611,0.6512240160808869,0.2628180786657498,0.19529536063626154,0.08087100946870508
kiuDR02UAZA,1,0.5351660263932905,0.6203613757809395,0.4827092522752747,0.6608397109227375,0.42110028530923327,0.5482133198475091,0.6609775401648661,0.4123174679291132,0.4739243893698921,0.42091122225558275,0.4823555010555701,0.4835793035431658,0.7490683681850663,0.4357143362580757,0.3855147235713443,0.48972218836495607,0.3104321061220945,0.5256446015834595,0.5739167735871267,0.42624982854246996,0.43623377627113014,0.6105040522461397,0.3058390052985869,0.31883175360950766,0.7142861566289374,0.4925277831911644,0.49284041971198517,0.4782403739396825
4ZLGy8VkWM4,0,0.6077282755625406,0.5333037643884102,0.7079692546428638,0.542573912233682,0.15181939969769243,0.4257940008467524,0.40387917747680635,0.29313097711248026,0.6316065727265371,0.5102711552740568,0.5090344068319766,0.5684805996773552,0.7232195073267599,0.3017165529870269,0.10719541515899104,0.5949077117527786,0.3208625393810813,0.3668398998934617,0.3790108956089255,0.551657939332101,0.26833235042179177,0.6205356555736521,0.49436824525961975,0.4822101732018814,0.7102266240737718,0.5671882251271938,0.6095870299736131,0.7271137272307886
szzUfDkoYuM,1,0.3953727654584504,0.6697015555158334,0.3226239445377783,0.6305153368097453,0.5032329256587106,0.6690374418608241,0.7245410739013648,0.5183311016704109,0.28094184420118135,0.16383445047710685,0.4342994948276404,0.45204257791670366,0.5822290161013959,0.4069174003274588,0.6977073144042985,0.5919465219485002,0.30133767653453836,0.6943054830977912,0.607731705368259,0.6493449868360568,0.442613699811564,0.6008813264293495,0.27964577388290046,0.5380513292818865,0.6957083577077608,0.5723567806654821,0.5850550256059117,0.6075363055354075
RWc8V-iKJ7s,0,0.62344740629316,0.4160388673779063,0.5682650902089956,0.6878700756387942,0.2994528915265314,0.30273005598755676,0.5504457845102677,0.28130048266198093,0.7082680183564716,0.5031707235392276,0.38571000437268377,0.5082273649316287,0.7302196012929942,0.47443704139466514,0.15291260969713993,0.5981526587500609,0.38787115642453,0.5212816974486725,0.46503930503122765,0.40367272067618204,0.4020028191633295,0.5164136581621898,0.49695061038708777,0.2726071291230427,0.7547043707883256,0.6560659037012432,0.7150744331226191,0.6416775001899252
