video_id,comment_count,comments_status,view_count,like_count,error,comments_actually_available,comments_reason,transcript_actually_available,transcript_reason
noF0OvsJugg,1623,enabled,1737836,21951.0,nan,True,ok,True,ok
sRA6xdTsPiM,5854,enabled,2891534,28986.0,nan,True,ok,True,ok
Ju-AEhX8FT4,4951,enabled,4866947,34159.0,nan,True,ok,True,ok
c7meCF1r5XE,22,enabled,12136,407.0,nan,True,ok,True,ok
CVoksc5H5yA,3810,enabled,1558812,18841.0,nan,True,ok,True,ok
ZS5v2XnFbjs,812,enabled,542476,10354.0,nan,True,ok,True,ok
3ty6GAWj9QY,383,enabled,288710,1882.0,nan,True,ok,True,ok
gVWV2DB9Xg4,360,enabled,80332,1560.0,nan,True,ok,True,ok
kaTO7iNRKac,2560,enabled,2375715,23689.0,nan,True,ok,True,ok
vIQArwp3cLI,44,enabled,31911,301.0,nan,True,ok,True,ok
HovnTzQ7yIg,615,enabled,8363463,20054.0,nan,True,ok,True,ok
wooaBPLcjmY,2020,enabled,5793536,57278.0,nan,True,ok,True,ok
3AwFRwhNIrA,315,enabled,164917,1988.0,nan,True,ok,True,ok
_s39R_VKu9s,33,enabled,7445,197.0,nan,True,ok,True,ok
KmziR25Csvg,916,enabled,674962,6213.0,nan,True,ok,True,ok
bziY6o0ipI8,59040,enabled,6516498,64138.0,nan,True,ok,True,ok
Lbp5FiILKvw,215,enabled,162380,1233.0,nan,True,ok,True,ok
Z_tDyL5w36Y,2290,enabled,5043122,41077.0,nan,True,ok,True,ok
U3re0A_Piec,56,enabled,30321,477.0,nan,True,ok,True,ok
mHdy1xS59xA,11749,enabled,21485953,755074.0,nan,True,ok,True,ok
yn99ItFoopQ,370,enabled,474234,3755.0,nan,True,ok,True,ok
5kBHgqwPu1s,1013,enabled,672638,10989.0,nan,True,ok,True,ok
z6OeD32ZAnE,0,disabled,5384537,48208.0,nan,False,disabled,True,ok
DE1cAWlHLhU,30,enabled,23522,175.0,nan,True,ok,True,ok
Z8SQeprQe6M,43,enabled,5623,86.0,nan,True,ok,True,ok
TmORMKTHuOs,4060,enabled,4049896,80659.0,nan,True,ok,True,ok
yHO3gU66CCg,1474,enabled,424894,5335.0,nan,True,ok,True,ok
TeIpFRN7sb0,0,zero,9178,24.0,nan,True,ok,True,ok
IconZSiBoPs,0,disabled,26361,398.0,nan,False,disabled,True,ok
Sl7mO6Z5vWg,5888,enabled,4760254,36170.0,nan,True,ok,True,ok
9ONNX44QynQ,130,enabled,49610,1068.0,nan,True,ok,True,ok
61MPFIdErac,5180,enabled,13260941,113764.0,nan,True,ok,True,ok
rMXCy703zIU,31,enabled,2177,87.0,nan,True,ok,True,ok
5sYsF8Z5g7I,362,enabled,390582,5413.0,nan,True,ok,True,ok
IoKDQUi9nms,65,enabled,42572,341.0,nan,True,ok,True,ok
KzSwXVq0rRo,891,enabled,184008,3408.0,nan,True,ok,True,ok
D6DEagL4aFQ,2521,enabled,1279180,14195.0,nan,True,ok,True,ok
