"video_id,comment_count,comments_status,view_count,like_count,error"
"TKDY7mfhq0A,1254,enabled,626376,8003,"
"d4ARyi9Y6dM,160,enabled,56129,1235,"
"NyGjHiYi3ZI,353,enabled,172029,1306,"
"wB-Sps7fx3k,1092,enabled,675213,12913,"
"f0vQS4CBER8,245,enabled,80033,1056,"
"0f6VCgnQ6LU,25,enabled,17541,313,"
"sc1YLWuOGJI,25,enabled,7986,200,"
"sPU5uaXjUVQ,3199,enabled,1120964,11768,"
"rRDKv_VGJik,44,enabled,34081,295,"
"KRfj8yD0VzY,155,enabled,17862,417,"
"b8NVRe9YYo4,806,enabled,147975,2893,"
"PUybvb18bVI,1844,enabled,1274261,6125,"
"COBICZWwkc8,4843,enabled,1221651,20577,"
"Z3f90BIYU7U,538,enabled,3109317,27233,"
"5h6qDBnJVAY,63,enabled,27424,463,"
"9BuLhF2x4Xs,4650,enabled,4992038,45142,"
"q-RzbVL8In0,380,enabled,60834,1424,"
"JYnaNvXZhoY,2682,enabled,5457861,48049,"
"OQa8rFsp-pM,5077,enabled,3905644,26908,"
"y0dz2ifRzxg,1531,enabled,706896,16474,"
"hXJOEqrl4GY,0,disabled,289642,564,"
"KZEgUpAnuZE,1893,enabled,1900258,25974,"
"HB0-jTeR2Vg,4937,enabled,4286826,103312,"
"8M4-mBGLPeE,3183,enabled,4741818,27825,"
"9ltRadPZWEQ,97,enabled,94564,358,"
"W-j0kFE82jk,22897,enabled,12119741,91429,"
"chvGNfsGwV0,631,enabled,493315,6883,"
"C0Z3Mw-1A9w,418,enabled,150246,2906,"
"9nuT_ZxWwb0,3784,enabled,2812448,28149,"
"pgtWGSQm15w,11,enabled,39917,163,"
"u70PvD-FZF4,26,enabled,15624,226,"
"pNgcIDj9sE0,0,disabled,20312,143,"
"6dNGF9PRkBY,2672,enabled,18940722,147445,"
"9LJYUkaL5yk,407,enabled,1460011,6261,"
"9ncC1R2klvE,1741,enabled,2315142,21886,"
"UlGeHPncTe0,4941,enabled,2891694,42308,"
"LZ8yTs5_T0M,36,enabled,38510,228,"
"Ke5Is2cs4Rc,2864,enabled,1721824,33330,"
"s_FHwR_dY04,540,enabled,156217,2728,"
"nAT-ahYN28U,222,enabled,168027,1526,"
"DItNtEGqoYc,318,enabled,134174,4456,"
"hyk9dRXKKbg,209,enabled,1043565,4908,"
"CTVzdg7B9os,1373,enabled,494014,7334,"
"qvu5Tfo_HTc,1263,enabled,2042558,12051,"
"RG4wov7W5jM,237,enabled,100282,1916,"
"qV-ztVH9glY,677,enabled,336307,4742,"
"dM9V9Od1xHc,1157,enabled,2481295,16328,"
"xl3gh_hTyhA,582,enabled,2946760,18626,"
"wPzUAIX_IVE,195,enabled,77712,1330,"
"2KMyPXGPQB0,11,enabled,6574,57,"
"8bWhdDQEnZw,3101,enabled,2264892,17265,"
"SmCq71whq3I,220,enabled,96155,1678,"
"BHlNIgcJUrc,3596,enabled,1978341,24831,"
"b0g50-j3kQc,0,disabled,145417,1038,"
"iFUOt5wfXHU,364,enabled,2571646,8091,"
"jN8A8I8N4R8,469,enabled,100089,1825,"
"-lc8DHMiIYE,1921,enabled,1117855,11132,"
"gg5PYU2CznY,3483,enabled,2475478,26217,"
"79p-OHjAt_g,2889,enabled,476550,7600,"
"w6prPFcFEbE,372,enabled,58308,1374,"
"BEXWz23D2wU,7443,enabled,3072797,20552,"
"fStQ3bBTsq8,95,enabled,31981,367,"
"QsQV4nDG7u8,4403,enabled,6902004,48346,"
"w8IJZRGcoz8,1016,enabled,1593573,10098,"
"bqCMP44fqxM,0,disabled,2447047,2259,"
"kmdGOXjvUTY,94,enabled,188453,1289,"
"kgFuqgnNZeY,597,enabled,7393337,13690,"
"ieZ3iCf9HX8,53,enabled,15225,353,"
"1LRaiX0ptqQ,34,enabled,35692,265,"
"yV5AfuGSdU4,28,enabled,50488,360,"
"U_reFBke_EM,119,enabled,51319,480,"
"hT7bJQBsmKM,496,enabled,732233,6242,"
"YRJEI8NsGio,186,enabled,13589,468,"
"EB9wnw5SvXs,2838,enabled,816115,3885,"
"7DUkvVFmGik,504,enabled,342007,1675,"
"asw97DWtrgE,30,enabled,27220,303,"
"Tk_lIr5j2kU,4,enabled,1281,24,"
"VWnzs0NWZww,8020,enabled,2809638,34666,"
"bmMWAanb4gY,99,enabled,66662,895,"
"62ZXWfA321o,2454,enabled,787220,8372,"
